Date,Temperature,Load
2024-01-01,26.165561867580813,1535.0
2024-01-02,25.067687513885087,1472.0
2024-01-03,26.811573748433922,1532.0
2024-01-04,28.734083980839248,1549.0
2024-01-05,25.391341237927794,1531.0
2024-01-06,25.562743060575986,1321.0
2024-01-07,29.36050608000831,1364.0
2024-01-08,27.907657179438466,1488.0
2024-01-09,25.604139434772907,1496.0
2024-01-10,27.798051528986704,1531.0
2024-01-11,25.955431712807517,1509.0
2024-01-12,26.119585491545678,1433.0
2024-01-13,27.703139673173723,1419.0
2024-01-14,23.560167170743902,1431.0
2024-01-15,24.103697286135805,1528.0
2024-01-16,26.59500651685911,1554.0
2024-01-17,25.859162088137243,1542.0
2024-01-18,28.67770691175344,1523.0
2024-01-19,26.39664846588122,1496.0
2024-01-20,25.55062159327055,1317.0
2024-01-21,31.468058759606823,1480.0
2024-01-22,28.24569282793366,1510.0
2024-01-23,28.99169047181192,1514.0
2024-01-24,26.16538351963282,1436.0
2024-01-25,28.083170577072806,1446.0
2024-01-26,29.549601104924044,1553.0
2024-01-27,27.1803062625595,1398.0
2024-01-28,30.38689874571985,1450.0
2024-01-29,28.586061021320276,1501.0
2024-01-30,29.354368002013217,1501.0
2024-01-31,28.883296214062252,1547.0
2024-02-01,33.93871244267338,1632.0
2024-02-02,30.35305726590713,1519.0
2024-02-03,28.408931273764395,1377.0
2024-02-04,32.31210738711756,1471.0
2024-02-05,28.36631543459596,1485.0
2024-02-06,31.364994059617146,1566.0
2024-02-07,27.165428453391712,1476.0
2024-02-08,28.564095386611815,1563.0
2024-02-09,31.74804548064002,1525.0
2024-02-10,32.963228770340635,1509.0
2024-02-11,31.95908274480272,1456.0
2024-02-12,31.513139623552973,1633.0
2024-02-13,31.26832028105809,1561.0
2024-02-14,29.037539289781616,1552.0
2024-02-15,30.67687780602833,1453.0
2024-02-16,31.315162841039548,1566.0
2024-02-17,34.468414682077686,1623.0
2024-02-18,33.156957456102475,1530.0
2024-02-19,29.056977774060158,1553.0
2024-02-20,33.34231620762897,1608.0
2024-02-21,32.03279394987512,1652.0
2024-02-22,31.555612566955855,1677.0
2024-02-23,34.2369634594285,1651.0
2024-02-24,35.17738963506551,1585.0
2024-02-25,35.07732577125654,1676.0
2024-02-26,31.633271217212805,1644.0
2024-02-27,32.78775930464236,1585.0
2024-02-28,34.16069777808241,1645.0
2024-02-29,35.53872983700275,1707.0
2024-03-01,32.71621507160539,1541.0
2024-03-02,33.3875990981148,1490.0
2024-03-03,31.628005151421583,1415.0
2024-03-04,31.527400216434145,1523.0
2024-03-05,35.62136034131083,1723.0
2024-03-06,36.782618185168005,1783.0
2024-03-07,33.99725963869267,1737.0
2024-03-08,36.2167786729504,1699.0
2024-03-09,34.99868888588723,1649.0
2024-03-10,33.04813277901901,1511.0
2024-03-11,35.12135179043578,1702.0
2024-03-12,37.532037007203364,1835.0
2024-03-13,34.43891308473163,1621.0
2024-03-14,37.69163557754707,1827.0
2024-03-15,29.371807630543515,1508.0
2024-03-16,36.301204385298995,1677.0
2024-03-17,34.87473335499141,1609.0
2024-03-18,34.14298985079247,1788.0
2024-03-19,34.96200496812757,1667.0
2024-03-20,30.837926873514306,1507.0
2024-03-21,34.405394391845896,1645.0
2024-03-22,35.58771956696335,1696.0
2024-03-23,37.855113040356564,1682.0
2024-03-24,33.88568165763202,1615.0
2024-03-25,33.32519186315315,1704.0
2024-03-26,33.95567587430272,1630.0
2024-03-27,36.8040539664857,1731.0
2024-03-28,35.64185643087501,1749.0
2024-03-29,33.93297970486275,1630.0
2024-03-30,36.02421988602562,1673.0
2024-03-31,35.19406249605798,1618.0
2024-04-01,36.936456567613156,1702.0
2024-04-02,33.59135661911887,1721.0
2024-04-03,34.3334728626548,1763.0
2024-04-04,34.19495530238961,1637.0
2024-04-05,32.03955912127746,1562.0
2024-04-06,35.54329366513613,1636.0
2024-04-07,35.45467903703392,1635.0
2024-04-08,34.92136755321947,1730.0
2024-04-09,34.417601635573114,1777.0
2024-04-10,32.02874001553748,1572.0
2024-04-11,33.9879748742691,1620.0
2024-04-12,34.11070788340136,1595.0
2024-04-13,33.155550967880444,1490.0
2024-04-14,34.39861054295859,1574.0
2024-04-15,35.48747954386972,1809.0
2024-04-16,38.40707728806255,1810.0
2024-04-17,34.93633379553664,1709.0
2024-04-18,35.051910747749986,1701.0
2024-04-19,34.33472396858938,1733.0
2024-04-20,30.59006900330612,1550.0
2024-04-21,34.31578571205588,1546.0
2024-04-22,34.42769973026184,1653.0
